GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
35.0680120571,112.5960396589,35.0671559029,112.6019727052,35.072908,112.608578,河南省济源市济源市黄河大道辅路,-,济源市
42.9067775192,129.4639359316,42.9093706237,129.4710330567,42.915743,129.477372,吉林省延边朝鲜族自治州延吉市公园路2799,-,延边朝鲜族自治州
32.8917950084,115.8085994105,32.8898267071,115.8139906505,32.896062,115.820434,安徽省阜阳市颍州区清河东路497号,-,阜阳市
31.7467767011,110.6709234939,31.7445779622,110.6759875045,31.750497,110.682522,湖北省神农架林区神农架林区常青路51号,-,神农架林区
30.6656235057,113.1599663988,30.6633118438,113.1660120979,30.669621,113.172409,湖北省天门市天门市陆羽大道,-,天门市
23.1145646397,109.5947878397,23.1116735353,109.5989774502,23.117448,109.605516,广西壮族自治区贵港市港北区中山北路888号,-,贵港市
22.3799638979,107.360845747,22.3772059078,107.3649870777,22.383117,107.37152,广西壮族自治区崇左市江州区新城路1号,-,崇左市
23.7530838299,109.2166706177,23.7504521847,109.2209782454,23.756546,109.227455,广西壮族自治区来宾市兴宾区人民路1号,-,来宾市
24.4065528674,111.561865173,24.4035388475,111.5669989211,24.40945,111.573524,广西壮族自治区贺州市八步区贺州大道1号,-,贺州市
29.5827659378,105.0548106068,29.5801816074,105.0580077999,29.585886,105.064591,四川省内江市市中区翔龙路6,-,内江市
30.0796343193,103.847895194,30.076825886,103.8500034103,30.082527,103.856567,四川省眉山市东坡区东坡大道北一段,-,眉山市
22.4227343739,113.9255855869,22.4227343739,113.9255855869,22.425374,113.937,香港特别行政区屯门区,-,香港特别行政区
22.1179156881,113.5517331623,22.1179156881,113.5517331623,22.120914,113.563356,澳门特别行政区路环水鸭街8,-,澳门特别行政区
0,0,0,0,0,0,-,-,台湾省
4.974366,112.660303,4.974366,112.660303,4.974366,112.660303,-,-,南沙群岛
19.3532422804,110.0975946546,19.3516885204,110.1019988419,19.357376,110.108576,海南省屯昌县屯昌县,-,屯昌县
19.5449655264,110.7935620128,19.5431406039,110.7980037509,19.549062,110.804511,海南省文昌市文昌市惠民路,-,文昌市
19.2601254128,110.4696384409,19.2585048674,110.4740104416,19.264255,110.480547,海南省琼海市琼海市银海路,-,琼海市
0,0,0,0,0,0,-,-,西沙群岛
19.9153446741,109.6868119486,19.9132213628,109.690974737,19.919475,109.69744,海南省临高县临高县,-,临高县
18.7770051285,109.5128743537,18.7752478457,109.5169995912,18.780994,109.523537,海南省五指山市五指山市国兴路,-,五指山市
18.7953435625,110.3885938855,18.793784541,110.3929980727,18.800106,110.399438,海南省万宁市万宁市G223(红专中路),-,万宁市
19.0350519843,109.8339164008,19.0332416501,109.8380148162,19.039164,109.84451,海南省琼中黎族苗族自治县琼中黎族苗族自治县营根路93号,-,琼中黎族苗族自治县
0,0,0,0,0,0,-,-,外国
37.2268140024,79.2926589755,37.2267285666,79.2948744801,37.232769,79.301389,新疆维吾尔自治区和田地区墨玉县,-,昆玉市
47.33154399,87.8339713683,47.3326274673,87.837098824,47.338865,87.843466,新疆维吾尔自治区阿勒泰地区福海县,-,北屯市
44.8461697998,82.3685466907,44.8471930114,82.3717653415,44.852959,82.378382,新疆维吾尔自治区博尔塔拉蒙古自治州博乐市,-,双河市
37.9281218717,102.6363406644,37.9284011717,102.6380411849,37.934378,102.644556,甘肃省武威市凉州区东大街50号,-,武威市
39.7708668653,98.289186545,39.7717038681,98.2897927242,39.777961,98.2962,甘肃省嘉峪关市嘉峪关市体育大道,-,嘉峪关市
